Date,Open,High,Low,Close,Volume
2013-03-14,13.512,13.568,13.438,13.502,347652301
2013-03-13,13.375,13.564,13.278,13.372,464278279
2013-03-12,13.599,13.7,13.347,13.375,533030308
2013-03-11,13.414,13.704,13.272,13.668,542552977
2013-03-08,13.417,13.594,13.38,13.477,447916634
2013-03-07,13.252,13.486,13.144,13.442,535596430
2013-03-06,13.565,13.589,13.249,13.287,526390093
2013-03-05,13.157,13.586,13.134,13.459,730001594
2013-03-04,13.354,13.367,13.08,13.111,665744980
2013-03-01,13.673,13.679,13.423,13.439,631563657
2013-02-28,13.862,13.981,13.779,13.779,368842022
2013-02-27,13.999,14.125,13.754,13.878,671756812
2013-02-26,13.855,14.096,13.662,14.016,573183616
2013-02-25,14.169,14.207,13.815,13.822,425701972
2013-02-22,14.025,14.098,13.941,14.073,378020221
2013-02-21,13.923,14.022,13.823,13.925,511123585
2013-02-20,14.288,14.288,14.011,14.012,544601284
2013-02-19,14.393,14.445,14.169,14.36,498354721
2013-02-15,14.637,14.677,14.358,14.365,448236384
2013-02-14,14.501,14.723,14.485,14.566,406571879
2013-02-13,14.585,14.785,14.461,14.579,543370053
2013-02-12,14.969,15.058,14.601,14.606,695660650
2013-02-11,14.874,15.137,14.774,14.983,591610242
2013-02-08,14.796,14.947,14.617,14.828,724002655
2013-02-07,14.462,14.672,14.177,14.616,803747310
2013-02-06,14.167,14.477,14.047,14.194,682579974
2013-02-05,13.781,14.268,13.725,14.209,659439231
2013-02-04,14.088,14.151,13.718,13.728,548747962
2013-02-01,14.249,14.261,13.915,14.079,620590136
2013-01-31,14.182,14.254,14.121,14.137,367273849
2013-01-30,14.183,14.358,14.106,14.179,479832861
2013-01-29,14.23,14.284,14.032,14.222,656851452
2013-01-28,13.589,14.067,13.528,13.961,903070295
2013-01-25,14.019,14.16,13.501,13.652,1389615860
2013-01-24,14.277,14.454,13.973,13.982,1680203678
2013-01-23,15.792,15.983,15.667,15.952,987061135
2013-01-22,15.66,15.762,15.414,15.667,530074326
2013-01-18,15.472,15.588,15.406,15.519,544271838
2013-01-17,15.838,15.852,15.581,15.602,521098233
2013-01-16,15.351,15.811,15.286,15.707,794387729
2013-01-15,15.466,15.486,15.002,15.081,1007600194
2013-01-14,15.602,15.751,15.472,15.573,844293283
2013-01-11,16.175,16.305,16.108,16.148,403381953
2013-01-10,16.403,16.409,16.0,16.247,691195518
